Sample,Species,Count,Treatment_leaflet,Treatment_replicate,Treatment_binned,Treatment_binned_early-late
A_1_1_15,Robillarda sessilis,1,A_1_1,A_1,A,A
A_1_1_3,Pestalotiopsis theae,1,A_1_1,A_1,A,A
A_1_1_8,Seimatosporium eucalypti,1,A_1_1,A_1,A,A
A_1_2_10,Heliscus submersus,1,A_1_2,A_1,A,A
A_1_2_12,Cladosporium perangustum / Cladosporium tenuissimum,1,A_1_2,A_1,A,A
A_1_2_13,Seimatosporium eucalypti,1,A_1_2,A_1,A,A
A_1_2_14,Penicillium paxilli,1,A_1_2,A_1,A,A
A_1_2_16,Heliscus submersus,1,A_1_2,A_1,A,A
A_1_2_17,Discosia sp 1 KT_2010,1,A_1_2,A_1,A,A
A_1_2_18,Pestalotiopsis crassiuscula / Pestalotiopsis photiniae,1,A_1_2,A_1,A,A
A_1_2_19,Pestalotiopsis funerea,1,A_1_2,A_1,A,A
A_1_2_2,Discosia sp 1 KT_2010,1,A_1_2,A_1,A,A
A_1_2_20,Seimatosporium eucalypti,1,A_1_2,A_1,A,A
A_1_2_21,Seimatosporium eucalypti,1,A_1_2,A_1,A,A
A_1_2_22,Heliscus submersus,1,A_1_2,A_1,A,A
A_1_2_25,Hypoxylon anthochroum,1,A_1_2,A_1,A,A
A_1_2_4,Pestalotiopsis funerea,1,A_1_2,A_1,A,A
A_1_2_5,Heliscus submersus,1,A_1_2,A_1,A,A
A_1_2_6,Pestalotiopsis sp EN 10,1,A_1_2,A_1,A,A
A_1_2_7,Pestalotiopsis funerea,1,A_1_2,A_1,A,A
A_1_2_8,Dictyochaeta simplex,1,A_1_2,A_1,A,A
A_1_2_9,Heliscus submersus,1,A_1_2,A_1,A,A
A_1_3_13,Discosia sp 7 KT_2010,1,A_1_3,A_1,A,A
A_1_3_14,Discosia sp 1 KT_2010,1,A_1_3,A_1,A,A
A_1_3_15,Pestalotiopsis aquatica / Pestalotiopsis crassiuscula,1,A_1_3,A_1,A,A
A_1_3_18,Robillarda sessilis,1,A_1_3,A_1,A,A
A_1_3_7,Discosia sp 1 KT_2010,1,A_1_3,A_1,A,A
A_1_4_13,Seimatosporium eucalypti,1,A_1_4,A_1,A,A
A_1_4_15,Discosia sp 1 KT_2010,1,A_1_4,A_1,A,A
A_1_4_18,Discosia sp 1 KT_2010,1,A_1_4,A_1,A,A
A_1_4_19,Discosia sp 7 KT_2010,1,A_1_4,A_1,A,A
A_1_4_2,Seimatosporium eucalypti,1,A_1_4,A_1,A,A
A_1_4_20,Pestalotiopsis funerea,1,A_1_4,A_1,A,A
A_1_4_22,Seimatosporium eucalypti,1,A_1_4,A_1,A,A
A_1_4_3,Seimatosporium eucalypti,1,A_1_4,A_1,A,A
A_1_4_6,Heliscus submersus,1,A_1_4,A_1,A,A
A_1_5_1,Discosia sp 1 KT_2010,1,A_1_5,A_1,A,A
A_1_5_10,Pestalotiopsis aquatica / Pestalotiopsis crassiuscula,1,A_1_5,A_1,A,A
A_1_5_12,Trichoderma strigosum,1,A_1_5,A_1,A,A
A_1_5_13,Pestalotiopsis aquatica / Pestalotiopsis crassiuscula,1,A_1_5,A_1,A,A
A_1_5_15,Discosia sp 1 KT_2010,1,A_1_5,A_1,A,A
A_1_5_16,Seimatosporium eucalypti,1,A_1_5,A_1,A,A
A_1_5_20,Lasiodiplodia theobromae,1,A_1_5,A_1,A,A
A_1_5_21,Discosia sp 1 KT_2010,1,A_1_5,A_1,A,A
A_1_5_23,Volutella lini,1,A_1_5,A_1,A,A
A_1_5_24,Xylaria curta,1,A_1_5,A_1,A,A
A_1_5_25,Discosia sp 1 KT_2010,1,A_1_5,A_1,A,A
A_1_5_3,Pestalotiopsis aquatica / Pestalotiopsis crassiuscula,1,A_1_5,A_1,A,A
A_1_5_5,Lasiodiplodia theobromae,1,A_1_5,A_1,A,A
A_1_5_6,Discosia sp 2 KT_2010,1,A_1_5,A_1,A,A
A_1_5_7,Discosia sp 1 KT_2010,1,A_1_5,A_1,A,A
A_1_5_8,Discosia sp 1 KT_2010,1,A_1_5,A_1,A,A
A_2_1_1,Pestalotiopsis fici,1,A_2_1,A_2,A,A
A_2_1_10,Penicillium multicolor,1,A_2_1,A_2,A,A
A_2_1_17,Discosia sp 1 KT_2010,1,A_2_1,A_2,A,A
A_2_1_5,Penicillium multicolor,1,A_2_1,A_2,A,A
A_2_2_21,Eutypa lata,1,A_2_2,A_2,A,A
A_2_2_4,Pestalotiopsis vismiae,1,A_2_2,A_2,A,A
A_2_2_6,Pestalotiopsis funerea,1,A_2_2,A_2,A,A
A_2_3_11,Thozetella falcata,1,A_2_3,A_2,A,A
A_2_3_13,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_3_14,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_3_15,Daldinia loculata,1,A_2_3,A_2,A,A
A_2_3_16,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_3_19,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_3_2,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_3_20,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_3_22,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_3_23,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_3_3,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_3_4,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_3_6,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_3_7,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_3_8,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_3_9,Xylaria cubensis,1,A_2_3,A_2,A,A
A_2_4_15,Penicillium multicolor,1,A_2_4,A_2,A,A
A_2_4_23,Penicillium paxilli,1,A_2_4,A_2,A,A
A_2_4_7,Microdochium bolleyi,1,A_2_4,A_2,A,A
A_2_4_8,Seimatosporium botan,1,A_2_4,A_2,A,A
A_2_5_12,Endomelanconiopsis endophytica,1,A_2_5,A_2,A,A
A_2_5_14,Pestalotiopsis crassiuscula / Pestalotiopsis photiniae,1,A_2_5,A_2,A,A
A_2_5_17,Penicillium paxilli,1,A_2_5,A_2,A,A
A_2_5_18,Penicillium multicolor,1,A_2_5,A_2,A,A
A_2_5_23,Penicillium multicolor,1,A_2_5,A_2,A,A
A_2_5_4,Penicillium paxilli,1,A_2_5,A_2,A,A
A_2_5_6,Entonaema pallida,1,A_2_5,A_2,A,A
A_3_2_12,Entonaema pallida,1,A_3_2,A_3,A,A
A_3_2_16,Preussia pseudominima,1,A_3_2,A_3,A,A
A_3_2_8,Rosellinia bambusae,1,A_3_2,A_3,A,A
A_3_3_12,Xylaria cubensis,1,A_3_3,A_3,A,A
A_3_3_24,Xylaria cubensis,1,A_3_3,A_3,A,A
A_3_5_16,Penicillium griseofulvum,1,A_3_5,A_3,A,A
A_3_5_4,Xylaria allantoidea,1,A_3_5,A_3,A,A
A_3_5_6,Trichoderma strigosum,1,A_3_5,A_3,A,A
A_3_5_7,Rosellinia bambusae,1,A_3_5,A_3,A,A
A_3_5_8,Trichoderma strigosum,1,A_3_5,A_3,A,A
A_4_1_12,Geosmithia sp U119A,1,A_4_1,A_4,A,A
A_4_1_13,Pseudovalsaria ferruginea,1,A_4_1,A_4,A,A
A_4_1_18,Morchella sp Mes_26,1,A_4_1,A_4,A,A
A_4_1_2,Geosmithia sp U119A,1,A_4_1,A_4,A,A
A_4_1_21,Coniolariella hispanica,1,A_4_1,A_4,A,A
A_4_2_1,Trichoderma strigosum,1,A_4_2,A_4,A,A
A_4_2_12,Pseudovalsaria ferruginea,1,A_4_2,A_4,A,A
A_4_2_14,Trichoderma strigosum,1,A_4_2,A_4,A,A
A_4_2_18,Trichoderma strigosum,1,A_4_2,A_4,A,A
A_4_2_22,Trichoderma strigosum,1,A_4_2,A_4,A,A
A_4_2_25,Trichoderma strigosum,1,A_4_2,A_4,A,A
A_4_2_5,Anthostomella eucalyptorum,1,A_4_2,A_4,A,A
A_4_2_6,Eutypa lata,1,A_4_2,A_4,A,A
A_4_3_12,Hypocrea lixii / Trichoderma cf harzianum ROG_2010,1,A_4_3,A_4,A,A
A_4_3_14,Pseudovalsaria ferruginea,1,A_4_3,A_4,A,A
A_4_3_15,Hypocrea lixii / Trichoderma cf harzianum ROG_2010,1,A_4_3,A_4,A,A
A_4_3_21,Penicillium multicolor,1,A_4_3,A_4,A,A
A_4_3_3,Bionectria aff ochroleuca ROG_2010,1,A_4_3,A_4,A,A
A_4_3_7,Hypocrea lixii / Trichoderma cf harzianum ROG_2010,1,A_4_3,A_4,A,A
A_4_4_10,Phoma fungicola,1,A_4_4,A_4,A,A
A_4_5_19,Entonaema pallida,1,A_4_5,A_4,A,A
A_4_5_2,Coniolariella hispanica,1,A_4_5,A_4,A,A
A_4_5_21,Hypocrea lixii / Trichoderma cf harzianum ROG_2010,1,A_4_5,A_4,A,A
