"","Acremonium","Annulohypoxylon","Anthostomella","Barriopsis","Beauveria","Bionectria","Botryosphaeria","Calonectria","Campylospora","Chaetomium","Cladobotryum","Cladonia","Cladosporium","Clonostachys","Coccomyces","Colletotrichum","Coniolariella","Coniothyrium","Cordyceps","Cryphonectria","Cryptodiaporthe","Cyphellophora","Daldinia","Diaporthe","Diatrype","Diatrypella","Dichomera / Neofusicoccum","Dictyochaeta","Diplogelasinospora","Discosia","Dokmaia","Endomelanconiopsis","Entonaema","Eutypa","Exophiala","Falcocladium","Fusarium","Geosmithia","Glomerella","Guignardia","Heliscus","Hypocrea / Trichoderma","Hypoxylon","Kylindria","Lachnum","Lasiodiplodia","Massarina","Melanconiella","Melanconium","Menispora","Microdochium","Morchella","Muscodor","Mycoleptodiscus","Mycosphaerella","Nectria","Nemania","Obolarina","Oidiodendron","Ophiocordyceps","Penicillium","Pestalotiopsis","Phaeoacremonium","Phaeocytostroma","Phoma","Phomopsis","Phyllosticta","Pleurostoma","Podospora","Preussia","Prosthecium","Pseudeurotium","Pseudofusicoccum","Pseudovalsaria","Robillarda","Rosellinia","Sarcinomyces","Scolecobasidium","Scytalidium","Seimatosporium","Sigmoidea","Spadicoides","Stachybotrys","Stilbohypoxylon","Therrya","Thielavia","Thozetella","Trichoderma","Trichothecium","Valsa","Volutella","Xylaria","Zopfiella"
"A_1",0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,1,1,0
"A_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14,0
"A_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0
"A_4",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0
"DR_10",0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,1,0,0,0,5,6,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
"DR_11",0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,1,5,0,0,0,0,1,2,1,0,0,0,0,0,2,1,1,2,0,0,0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,15,0
"DR_12",0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,6,0,0,1,13,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,18,0
"DR_2",0,7,7,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,5,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,0
"DR_3",0,3,1,0,0,1,3,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,13,0,0,0,0,0,41,0,0,1,0,0,0,0,0,1,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,49,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,11,0
"DR_4",0,1,0,1,0,1,7,0,0,0,0,1,1,0,0,12,0,0,0,0,0,0,2,8,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,6,0
"DR_5",0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,21,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,15,2,0,0,4,0,0,0,0,0,0,1,0,5,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,17,0
"DR_6",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0
"DR_7",0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,19,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,7,0
"DR_8",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0
"DR_9",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,6,0,0,1,0,0,12,0,1,4,0,1,0,7,6,0,1,0,0,0,0,0,4,0,0,0,1,4,0,1,0,0,0,3,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,15,0
"PSG_1",1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"PSG_10",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
"PSG_11",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
"PSG_12",0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,13,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,1,1,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0
